;10_kurt_total_ips_origem;10_skw_total_ips_origem;10_coefficient_variation_total_ips_origem;10_kurt_total_ips_destino;10_skw_total_ips_destino;10_coefficient_variation_total_ips_destino;10_kurt_total_pacotes;10_skw_total_pacotes;10_coefficient_variation_total_pacotes;has_bot
153;;;;;;;;;;1
154;;;;;;;;;;1
155;;;;;;;;;;0
156;;;;;;;;;;0
157;;;;;;;;;;0
158;;;;;;;;;;1
159;;;;;;;;;;0
160;;;;;;;;;;0
161;;;;;;;;;;0
162;;;;;;;;;;1
163;;;;;;;;;;0
164;;;;;;;;;;0
165;;;;;;;;;;0
166;;;;;;;;;;0
167;;;;;;;;;;0
168;;;;;;;;;;1
169;;;;;;;;;;0
170;;;;;;;;;;0
171;;;;;;;;;;0
172;;;;;;;;;;1
173;;;;;;;;;;0
174;;;;;;;;;;0
175;;;;;;;;;;1
176;;;;;;;;;;0
177;;;;;;;;;;0
178;;;;;;;;;;0
179;;;;;;;;;;0
180;;;;;;;;;;0
181;;;;;;;;;;1
182;;;;;;;;;;0
183;;;;;;;;;;0
184;;;;;;;;;;0
185;;;;;;;;;;0
186;;;;;;;;;;0
187;;;;;;;;;;0
188;;;;;;;;;;0
189;;;;;;;;;;0
190;;;;;;;;;;0
191;;;;;;;;;;0
192;;;;;;;;;;0
193;;;;;;;;;;0
194;;;;;;;;;;0
195;;;;;;;;;;0
196;;;;;;;;;;0
197;;;;;;;;;;0
198;;;;;;;;;;0
199;;;;;;;;;;1
200;;;;;;;;;;0
201;7.119031218041514;2.294702224293032;1.0492629942221898;5.368516451523107;2.0110709008544307;1.0183096573023147;60.55184022760569;7.236565264984813;4.322944409339199;0
202;7.105716166588837;2.289925954324437;1.0472008430384454;5.356929068166751;2.006212841355847;1.016304852480997;60.553375822174566;7.236664869265655;4.321395465160378;0
203;7.142259351478796;2.293458152780557;1.038994483098223;5.38729434918201;2.008743531045582;1.0082374449316016;60.54955099580542;7.2357544202976545;4.297236204724252;0
204;7.438138895110545;2.3286739967784222;1.036875821153527;5.628235721651733;2.0375658883022383;1.0058217455661471;60.54955099580542;7.2357544202976545;4.297236204724252;0
205;6.809101203033753;2.267548354728845;1.044943797764677;5.205592216201964;2.005676444314125;1.0160269746153203;60.46941698486673;7.227925912148193;4.258294877930672;1
206;6.950332967043795;2.290676997463722;1.0457052584454158;5.491013087194784;2.04497159722151;1.014455744550903;60.47330998486241;7.228672828544786;4.27455735347669;0
207;6.900495402686175;2.2776116717442747;1.0422754583210876;5.391392259473477;2.0213883983302434;1.0105330856023171;60.47787822349635;7.228762406669559;4.261853089838101;0
208;6.307477462484084;2.2229742451881607;1.051158615653084;5.07999823385036;2.0138709668534034;1.025136198278242;59.69148876163276;7.163163120900094;4.163724671296038;0
209;6.2757050584168725;2.2115891418285463;1.0450175317986194;5.051138277039655;2.0022899459896166;1.019131299357477;59.69968906952892;7.163666320981751;4.1551367546537845;1
210;6.265519845723366;2.207403931543629;1.0429789640164724;5.041925562462916;1.998010903887104;1.017137622611124;59.70258642573776;7.163868596265821;4.152981035560775;0
211;6.299532324626394;2.211285381969297;1.0349934191366774;5.071769993829687;2.0012125294167262;1.009257773779528;59.71001290389032;7.164381025348477;4.1472478200100165;0
212;6.33207831546032;2.219154006939161;1.0363829386373156;5.214985135976949;2.029587046723457;1.0113313097161527;59.70770682389281;7.16451870070375;4.159929792238602;1
213;6.385628770951674;2.23359332678148;1.0465547953005518;5.331948141616713;2.0551296786358844;1.021333286916824;59.7077617657411;7.16509909203603;4.181881201396752;0
214;6.474510788041366;2.252067698854547;1.0487280822401548;5.331948141616713;2.0551296786358844;1.021333286916824;59.70774036607815;7.165039614646435;4.179747307203092;0
215;6.097458714486525;2.239893909805858;1.0592365914091877;5.165785536713344;2.0708754806776724;1.033210046675186;59.40737084131477;7.13817597400257;4.111987968214116;0
216;6.020460728230219;2.219695113045453;1.0522513427455755;4.825394809754232;2.0161281763613825;1.0293298676277818;59.398782711747046;7.136747819618106;4.087503719676747;0
217;6.01165954874851;2.215895119848462;1.0502134246850665;4.7493314749135;1.9959626932636123;1.0251439741227169;59.40026035967697;7.136762439362691;4.083403152493455;0
218;5.526760699708652;2.1538799763738314;1.0505038074698607;4.365378044386513;1.9457701457969565;1.0258128654465384;59.31915405827375;7.128636778820506;4.042387522098185;1
219;5.534501884091031;2.1574741623116656;1.052532383294959;4.372001126625528;1.94936387201214;1.027796419848937;59.315853494607246;7.128419077162636;4.045104161444461;0
220;5.500429234938445;2.146902493719571;1.0490567298383622;4.342374452699959;1.939029340572333;1.0244084492915304;59.319365688792;7.128536730980043;4.038395918222726;0
221;5.471403075379999;2.143143724341252;1.0568833977092358;4.340143181279476;1.9426040044597;1.0335103553262228;59.31044223374315;7.128183653762074;4.053870894995292;0
222;5.682922628908411;2.184325605116514;1.0612770936391844;4.5244280573172535;1.981167646163353;1.0377002473109405;59.30364984728375;7.127964792788035;4.067404770080199;0
223;5.719216777684845;2.195213638296833;1.0647975458571408;4.5562984694909625;1.9918300166268077;1.0411346416370784;59.30157629308616;7.127837866337681;4.069459600555513;1
224;5.709200698493997;2.194419693638978;1.067447247846817;4.5474568442171295;1.991239351677154;1.0437391987535576;59.30041152461848;7.127752446334003;4.070152732033385;0
225;5.603491432828659;2.1708124897737946;1.0568955009453518;4.4545371941223;1.9685762613737952;1.0334445715393532;59.31087258151824;7.128378018891265;4.059222718172544;0
226;5.603491432828659;2.1708124897737946;1.0568955009453518;4.4545371941223;1.9685762613737952;1.0334445715393532;59.31387398127831;7.128528640580533;4.055153464809937;1
227;5.524170661019748;2.1508176293633072;1.052532383294959;4.384838682396506;1.9492752660878416;1.029205682541291;59.30700816843624;7.127461918188535;4.039260358190855;1
228;5.072428764413375;2.090756834366004;1.054794408762678;4.021600801702135;1.899780372488296;1.0318066978180644;59.184073365453486;7.11566260662344;3.994595704994392;1
229;5.051532911212485;2.081571519167216;1.0487385159157536;4.003240709089939;1.8905611338264148;1.025872826610999;59.192122729253;7.116208492428217;3.988626686883348;1
230;5.058209490540944;2.084968059448688;1.050753096639489;4.009056304341895;1.8939810745839227;1.027846956322573;59.192122729253;7.116208492428217;3.988626686883348;0
231;5.068082942548584;2.085865518748496;1.0481803999450858;4.0177901831201535;1.8946803063732471;1.025315591334676;59.19505067866007;7.11641259685065;3.9866368612364154;1
232;5.07158196591901;2.083434315355337;1.0436081431620214;4.020981399450069;1.8920242388447472;1.0208243472064968;59.198456287647296;7.116660356644175;3.984641259019606;0
233;5.07158196591901;2.083434315355337;1.0436081431620214;4.020981399450069;1.8920242388447472;1.0208243472064968;59.19747852586392;7.116592166849161;3.985303722831045;1
234;5.07158196591901;2.083434315355337;1.0436081431620214;4.020981399450069;1.8920242388447472;1.0208243472064968;59.19747852586392;7.116592166849161;3.985303722831045;0
235;4.818816294343153;2.0363561841111157;1.0399097129966028;3.8018964561266007;1.848491209323443;1.0173504052405038;59.20082383222013;7.116462558648354;3.9710677854553103;1
236;4.800945187329453;2.027674620020508;1.0339531121586805;3.786221642466828;1.8397398674050631;1.011509631986797;59.20774089018874;7.11694661625223;3.966465440038793;1
237;4.783902287279408;2.019137826888858;1.0280310325649944;3.7712969007891535;1.831123082682604;1.0057014894258616;59.216474084220806;7.117533876647526;3.9599265167395536;0
238;4.556917845655016;1.974929174547392;1.021846086409718;3.574746772703222;1.7900581439802123;0.9997684539848374;59.151010797534326;7.110775252770632;3.922977941300887;0
239;4.586383985628796;1.9793229742556344;1.0144080895446042;3.600425139294442;1.7938601434025083;0.9924406115611332;59.16290413198806;7.111526630852753;3.9127791763823705;0
240;4.575751589185218;1.9781678140729604;1.0168826092100538;3.5910224322961564;1.7929141668794517;0.9948786647598984;59.15936237453271;7.111266708694416;3.91470826502522;0
241;4.552233882897916;1.971866228087429;1.0198952440945608;3.615597107752476;1.803201682923566;1.004460926383728;59.14786214232194;7.110510672976651;3.923655053632583;0
242;4.552233882897916;1.971866228087429;1.0198952440945608;3.615597107752476;1.803201682923566;1.004460926383728;59.14606802791146;7.110389182334027;3.92493873692184;1
243;4.528924579250348;1.9656449028693732;1.0229133330229012;3.595517584400096;1.797361419700927;1.0074609494240765;59.14122249043672;7.110031242033074;3.927528404620908;0
244;4.4690367437301735;1.94823613787461;1.018659703799689;3.541535662501015;1.7802438749885878;1.0032872917560505;59.14893802048459;7.110545872924031;3.92175654544278;1
245;4.363440586613513;1.9218895306756305;1.0140674659743116;3.44698524825276;1.7547265979068167;0.9988057747651466;59.15596124548416;7.110937055113045;3.914137260595348;0
246;4.3508399880833055;1.9140128349413768;1.0082781798922158;3.435110024038773;1.7465574489573847;0.9930852789852698;59.16549475699905;7.111575622685859;3.90712910157342;1
247;4.381261360865243;1.9185709235017052;1.000954252417524;3.46106262205437;1.7503501026169894;0.9858202085658594;59.17404163479377;7.112186753933746;3.902021899312727;0
248;4.176676233755564;1.8771909874264532;0.994878262232442;3.234609550045197;1.70703316015901;0.9811582650821192;59.10381184309513;7.104985511181978;3.8649868520313855;0
249;4.176676233755564;1.8771909874264532;0.994878262232442;3.234609550045197;1.70703316015901;0.9811582650821192;59.10615667905437;7.105157123712903;3.863732167281105;0
250;4.173650671327814;1.874400152168416;0.9929826384002978;3.231772576390964;1.704138191722413;0.979283603102892;59.10721141425454;7.105232152513537;3.863106947175928;1
251;4.196575358968103;1.880753760493291;0.9900642145765528;3.251151235193742;1.7100546836171404;0.9763847044370824;59.10987451826449;7.105433019487919;3.861848458327311;0
252;4.199531849355841;1.883521537402317;0.991955187572544;3.2539295453230954;1.7129279102163493;0.9782548553037302;59.1054968243991;7.105118344570446;3.864351423719087;0
253;4.199531849355841;1.883521537402317;0.991955187572544;3.2539295453230954;1.7129279102163493;0.9782548553037302;59.1054968243991;7.105118344570446;3.864351423719087;0
254;4.2097443185773376;1.8909030276097356;0.9976482853202197;3.263610842663802;1.7205952484287554;0.9838847928260108;59.09566537713136;7.1044535284964825;3.8712160017581687;0
255;3.9792653303487695;1.8508232342211304;0.9897993233422464;3.066472050253709;1.6840125922907343;0.9762345647884486;59.10037946775366;7.104257157973367;3.8516808339387474;1
256;3.990004929191912;1.8521188732852436;0.9874118720970544;3.075612743499644;1.6850305372774372;0.9738668095657688;59.104042415443054;7.104527893741725;3.849809232989705;0
257;4.020730203996736;1.8572070081259884;0.9802750044794374;3.08644358954119;1.6837265187867247;0.9654450314655882;59.11430777796866;7.105252874240655;3.843613080989988;0
258;3.780895058410036;1.812235445595928;0.975360886455216;2.882370778611404;1.6426332230822596;0.9607050414855588;59.03926727142793;7.097604749593194;3.8065572731488273;0
259;3.750990484877677;1.807184953686044;0.982427081580916;2.857233360929158;1.6383762032825415;0.9677049970915124;59.03108398001556;7.097006731077246;3.810827078316288;0
260;3.7066400003197617;1.794243924788707;0.9801814540156332;2.8180560190260837;1.6258182680771305;0.9655030284998436;59.038082004818605;7.097353233966467;3.8024402157200448;1
261;3.736606608467112;1.79930073628542;0.9731347205873756;2.8432509385277727;1.6300783919501511;0.95852188612729;59.049234886888485;7.097839365387067;3.7869862278389705;0
262;3.604066912661663;1.7673216848678976;0.9688018979066272;2.727404119871876;1.5996543572839048;0.9542950238712312;59.04710202632379;7.097085936101177;3.770112192160096;0
263;3.554247349613888;1.751807576690168;0.9592613141382328;2.682445286480704;1.5841896431183358;0.9448790587102576;59.05290757664278;7.096964278927427;3.750963169121815;0
264;3.5587670972872902;1.7580491470074588;0.9647478390148748;2.686854206808762;1.5907560642206426;0.9503037162216588;59.04280277020749;7.096255494265993;3.756872413982288;0
265;3.548296718689003;1.7509633921242815;0.9556185296595742;2.6763204874991584;1.5831981050416664;0.941276944994486;59.056198433975446;7.097159459564808;3.748041770238232;0
266;3.5181629010826594;1.737761573419145;0.9493270594784814;2.6493507739136866;1.569926198575566;0.935065675447334;59.06310798747913;7.097189971284755;3.73079712448208;0
267;3.4403780038526914;1.7150286928659406;0.9449771721501926;2.580954658607422;1.5478907610241763;0.9307950038111086;59.06756878300213;7.097307790272776;3.722783401687792;1
268;3.224866899029154;1.6727603093350945;0.9423136312192608;2.397795430640893;1.509291407766438;0.928269048558466;58.99501674679082;7.089893571074409;3.689060173420753;0
269;3.224866899029154;1.6727603093350945;0.9423136312192608;2.397795430640893;1.509291407766438;0.928269048558466;58.99227424954345;7.089685975328242;3.690214121295441;0
270;3.224866899029154;1.6727603093350945;0.9423136312192608;2.397795430640893;1.509291407766438;0.928269048558466;58.99227424954345;7.089685975328242;3.690214121295441;0
271;3.194365734564984;1.6672339472992483;0.9491023628976456;2.3721383637225384;1.50458771905457;0.9350007256722748;58.97844560903136;7.088924826880311;3.7038290908482017;0
272;3.1841176687438395;1.66805849286416;0.9531774647800488;2.363453236361653;1.5058147127580976;0.9390370161715677;58.96675110791536;7.088355516753367;3.717508400339809;0
273;3.0253024199655205;1.631823496479843;0.949352247384612;2.29084381006577;1.5114804245123528;0.9478703790319088;58.60521010121185;7.056356967157325;3.662843376139264;1
274;2.7960878302405727;1.5921907064559184;0.9496117682257936;2.085987264185189;1.4775303265061388;0.9495642605697232;58.560524306259325;7.051450418176884;3.6346833590549;0
275;2.742311851602266;1.5726665911266855;0.9429451759233012;2.0397277608316453;1.458856924759443;0.9428793387886348;58.57058147221656;7.051826614160783;3.620555405224909;0
276;2.73228798104678;1.573462947689854;0.9469587091113494;2.0316309262873338;1.4598763347368406;0.946854432020019;58.56526003893884;7.051426937279296;3.6227776546649055;0
277;2.749794431243352;1.5792322827275616;0.9442752373237732;2.045747961682315;1.4651204808799911;0.944213023439563;58.57089407922848;7.051855511720234;3.620550797842018;0
278;2.5771672488118518;1.5608992653070637;0.9487487795243306;1.9069482251384768;1.4492783902246962;0.9482983342271092;58.51313915486587;7.04595780239458;3.5974439736056576;1
279;2.5771672488118518;1.5608992653070637;0.9487487795243306;1.9069482251384768;1.4492783902246962;0.9482983342271092;58.51313915486587;7.04595780239458;3.5974439736056576;1
280;2.5678960746561743;1.5595922903918626;0.9509730048177848;1.899345253496053;1.448195194032552;0.950495646389002;58.510289488486016;7.0457406095971695;3.598543884463266;0
281;2.5426624561682947;1.5549993718876112;0.9576664381686812;1.878948339428817;1.4443011180921337;0.9571076927953908;58.49505539847923;7.044695706769252;3.6072547818467022;0
282;2.532266074960515;1.5481505517874;0.9545263057578312;1.869919159613873;1.437667127310971;0.9539779531780308;58.50010346005517;7.04507000228754;3.605055125666536;1
283;2.5477152414654336;1.548162432876628;0.946514230290676;1.8819224811860515;1.437173481026001;0.9460444094614694;58.51022124369748;7.045820828983881;3.6006630491577774;1
284;2.5380057699405167;1.541443688831935;0.9434056253954716;1.873490885327252;1.430657795044092;0.9429455874196132;58.51911829626031;7.046459357743499;3.596298899306546;1
285;2.554881143921784;1.5418864685294256;0.9354651260912568;1.8866919145518155;1.4305616253089446;0.935081769344596;58.53251675657788;7.047422605337983;3.589770567674313;0
286;2.555762777100996;1.536788792106463;0.9301964895594644;1.886997054511312;1.4254176218401406;0.9298483283406628;58.542110605747965;7.048125047701274;3.585421098935296;1
287;2.5828771468014646;1.5442502910310412;0.9253887514678416;1.909032490003756;1.432116127643264;0.9251065516123644;58.54785652307449;7.048563705397782;3.583236237918666;0
288;2.574393777395567;1.5377845966244963;0.9223374762564878;1.9016640139235976;1.4258318745215868;0.9220638678553812;58.55135000325369;7.0488174111723785;3.581611126195293;0
289;2.602121107481524;1.5455148371047998;0.9175553223878524;1.9241877302297208;1.4327792660596446;0.9173468814807666;58.559522119805536;7.049434115727413;3.5783477998035718;0
290;2.6010138586408096;1.5473810460509911;0.9192915987343754;1.9233452162279423;1.4346565335318575;0.9190719414532283;58.559522119805536;7.049434115727413;3.5783477998035718;0
291;2.583645979940488;1.5413059817719306;0.9219019842724988;1.9093330802682964;1.42911436563111;0.9216425903155302;58.5537594551805;7.048993934755337;3.580527316891813;0
292;2.5662329750149326;1.53027592234134;0.9158262505752278;1.8940052287374447;1.4183496584549704;0.9155836448879272;58.5673875618359;7.049934618559578;3.573004942232335;1
293;2.5662329750149326;1.53027592234134;0.9158262505752278;1.8940052287374447;1.4183496584549704;0.9155836448879272;58.5673875618359;7.049934618559578;3.573004942232335;0
294;2.5571560286536554;1.525777608397768;0.9145289437153356;1.886236986883206;1.414034483836893;0.9142834587468968;58.57247170306932;7.050289786443573;3.5703224756889496;0
295;2.577885461094674;1.5274303717010038;0.9067669443592404;1.9026607549174617;1.4150552449512634;0.9065936487144416;58.58612725243281;7.051276298006234;3.5638789731190768;0
296;2.577885461094674;1.5274303717010038;0.9067669443592404;1.9026607549174617;1.4150552449512634;0.9065936487144416;58.590380463701344;7.051577384463582;3.561740335768468;0
297;2.577885461094674;1.5274303717010038;0.9067669443592404;1.9026607549174617;1.4150552449512634;0.9065936487144416;58.590380463701344;7.051577384463582;3.561740335768468;0
298;2.5794996334115528;1.525662034580968;0.9050490894856478;1.903943539470042;1.4132669734661127;0.9048866883463862;58.58526088122395;7.051219014286009;3.5644111570410626;0
299;2.5794996334115528;1.525662034580968;0.9050490894856478;1.903943539470042;1.4132669734661127;0.9048866883463862;58.58526088122395;7.051219014286009;3.5644111570410626;0
300;2.576051185204417;1.5301176119141655;0.9102098803923542;1.9014487866791645;1.4178213802357005;0.9100146476186464;58.57254986792491;7.050319075859568;3.570842758842589;0
301;2.5479800028011184;1.5222478072903578;0.9149618365599524;1.878637095416948;1.4107429885496157;0.9147023136381716;58.566762023005886;7.049876611707773;3.5730140432994246;0
302;2.5479800028011184;1.5222478072903578;0.9149618365599524;1.878637095416948;1.4107429885496157;0.9147023136381716;58.566762023005886;7.049876611707773;3.5730140432994246;0
303;2.537551372754584;1.5205892315939888;0.9171261048654136;1.8700581664187208;1.4093345649093016;0.9168413039196532;58.565433536532495;7.049776959631021;3.5735555267820622;0
304;2.537551372754584;1.5205892315939888;0.9171261048654136;1.8700581664187208;1.4093345649093016;0.9168413039196532;58.56942036733718;7.050076057356259;3.5719315179646887;0
305;2.52123329204063;1.5097053187888694;0.911076982812836;1.8556875346102455;1.3986987390238212;0.9108090371475736;58.58354235431093;7.05104032947525;3.563916430575829;0
306;2.52123329204063;1.5097053187888694;0.911076982812836;1.8556875346102455;1.3986987390238212;0.9108090371475736;58.58354235431093;7.05104032947525;3.563916430575829;0
307;2.503929147275196;1.5036416539533788;0.913664362006518;1.8417164785188715;1.3931637359066846;0.9133574110961208;58.57906600877799;7.050695977400463;3.5655406830774687;0
308;2.5159721893855416;1.5034824153780149;0.9097849629599746;1.8515966697991328;1.39273748504418;0.9095142408400236;58.58456594123123;7.051111753442466;3.563382116209854;0
309;2.4867605454547475;1.49765785410517;0.9162549223623756;1.8278465515662343;1.3877024857238904;0.915908859626412;58.5741996908702;7.05033841073274;3.5676925052180466;0
310;2.4986328645350286;1.4974212301701129;0.9123691158215362;1.837592088859293;1.387204479038294;0.912059491466607;58.58559607464606;7.051161695107719;3.5623286721666;1
311;2.4986328645350286;1.4974212301701129;0.9123691158215362;1.837592088859293;1.387204479038294;0.912059491466607;58.58559607464606;7.051161695107719;3.5623286721666;0
312;2.500167829088346;1.4955846055743554;0.9106454168561324;1.838821595886947;1.385351910774604;0.9103469747329868;58.58819403141749;7.0513555258157234;3.561253113191408;0
313;2.482901868567656;1.489577230602946;0.9132295221359884;1.82486813393999;1.3798683881746612;0.912892176103372;58.58512657356802;7.051118251347298;3.5623354798392595;0
314;2.484443007070105;1.487727432471298;0.911505058490668;1.8261070802165016;1.378003277594201;0.9111789475839522;58.5903242221429;7.051506103221993;3.560184941183808;0
315;2.369732218120206;1.4572048421324009;0.9054594880455126;1.7284117541966235;1.3491279275601449;0.9050208813454722;58.54954666162288;7.046887240375797;3.531958934828888;0
316;2.329828591804673;1.439887301279814;0.8990399895761538;1.6939645040133118;1.3324202302344477;0.8985902920173181;58.56446180562765;7.047736681941802;3.519534080272156;1
317;2.304730124985891;1.4295934913625925;0.8969023110744693;1.6725222767465673;1.3225871262089814;0.8964350607692682;58.55504676088588;7.046210096848464;3.502006325754131;0
318;2.282316245467329;1.417637425456795;0.893074304529381;1.6533228766611303;1.311056724517921;0.8926007232138939;58.56124977166235;7.046644915231752;3.498907534181296;1
319;2.265548843588097;1.4116507217200722;0.8956051223520624;1.6397673448029944;1.3055821813464354;0.8950943249666438;58.55808396681179;7.046398756385049;3.4999555356133585;0
320;2.228939322862541;1.3947711878950535;0.889237785459159;1.6081812156945845;1.289259210828771;0.8887171378085599;58.57343175044183;7.047451589240909;3.491729626819058;1
321;2.2016364934731616;1.3871626016235468;0.8938623098407594;1.5858772808370505;1.2824049891273923;0.8932808157690107;58.56484178644571;7.046797223472555;3.494850358442311;0
322;2.2148068583530063;1.3871112270023838;0.8900689355135308;1.596825558615319;1.2820761888802947;0.8895224910962215;58.57056659774011;7.047233244073887;3.492769318278594;0
323;2.2148068583530063;1.3871112270023838;0.8900689355135308;1.596825558615319;1.2820761888802947;0.8895224910962215;58.57056659774011;7.047233244073887;3.492769318278594;1
324;2.17996760625257;1.3704654424712504;0.8837304803707463;1.5398692296269687;1.2598794475954256;0.8831072374052076;58.58447463923427;7.047911772630163;3.478636544028815;1
325;2.06298926231859;1.3443850883576554;0.876071402594317;1.441267387665124;1.2351971631612282;0.8753110827734734;58.58276201567324;7.046906383760885;3.456977961250627;1
326;2.0660703751829264;1.3428202854368776;0.8744089848570361;1.443872042615472;1.2335904993805298;0.8736604320252823;58.58656257700604;7.04718765811441;3.4554557735429072;1
327;2.069218918406635;1.3412685911751392;0.872748659990853;1.4465351304703182;1.2319957550814424;0.8720118245710832;58.5919097998333;7.047417514258539;3.449517725943239;0
328;1.961086839970437;1.313281086463666;0.870523305048264;1.355377316935103;1.2057136116423943;0.8696484548575115;58.54023538230668;7.041881011495628;3.4240886218787425;1
329;1.9712643815999709;1.3100862947408252;0.8622817360624512;1.36308793841386;1.2020774702342134;0.8614651831622631;58.5591378996798;7.04308730885664;3.412325768731611;1
330;1.9712643815999709;1.3100862947408252;0.8622817360624512;1.36308793841386;1.2020774702342134;0.8614651831622631;58.5591378996798;7.04308730885664;3.412325768731611;0
331;1.9826988897649287;1.3073034838537003;0.8540899532183319;1.3718461314541692;1.1988209763458753;0.8533305064502226;58.5777202320859;7.044389989699198;3.403492833273288;1
332;1.99308884173002;1.3040935548282293;0.8491981638871939;1.3804808771701935;1.1953915567440092;0.8484724265782284;58.5927630320246;7.045477848241036;3.3971178420755037;0
333;1.9890788253422709;1.3054385538517084;0.8508268477553752;1.3770727043559945;1.196797574484224;0.850089919372161;58.59408052084689;7.045576151614517;3.396626173067204;0
334;1.99308884173002;1.3040935548282293;0.8491981638871939;1.3804808771701935;1.1953915567440092;0.8484724265782284;58.59850689391799;7.045914857232603;3.395145417379519;1
335;2.020822765578058;1.3075670761025977;0.841907967617808;1.4029760564765972;1.1980706413762652;0.8412517994023366;58.61736982279555;7.047242877829886;3.3863920286743925;1
336;2.088659392392642;1.326090661617271;0.843184808305559;1.4602883696286786;1.2154949214286517;0.842610339743679;58.6672375679826;7.052484017012976;3.407490417510969;1
337;2.092977193728544;1.3248332448093565;0.8415627720266329;1.463950091784788;1.21416980312003;0.8409991824897824;58.67214690987882;7.053558545569815;3.4227362743688663;1
338;2.081719605992373;1.3277657169061925;0.8464344796924663;1.454606852442481;1.2173427766358322;0.8458381228116439;58.6580257045318;7.052532098122819;3.428709705457188;0
339;2.1108749970469445;1.3366920834341758;0.8419845051517454;1.4781618549958293;1.2253924609189233;0.8414484988340024;58.66696540284181;7.053218125007485;3.4256943881391706;1
