;maior_pacote;total_ips_destino;total_ips_origem;10_kurt_maior_pacote;10_skw_total_ips_destino;10_coefficient_variation_total_ips_origem;has_bot
103;182;37918;28;;;;0
104;90;38056;35;;;;0
105;90;37947;27;;;;0
106;110;37759;31;;;;0
107;90;38077;20;;;;0
108;90;38085;23;;;;0
109;110;37760;36;;;;0
110;90;38082;26;;;;0
111;90;37915;19;;;;0
112;90;37761;23;;;;0
113;90;38239;18;;;;0
114;110;37917;20;;;;0
115;90;37757;24;;;;0
116;110;38239;27;;;;0
117;90;37916;24;;;;0
118;90;37761;27;;;;0
119;90;38240;24;;;;0
120;90;37919;31;;;;0
121;90;37758;25;;;;0
122;90;38237;24;;;;0
123;110;37757;25;;;;0
124;90;37923;30;;;;0
125;90;37935;29;;;;0
126;110;37894;23;;;;0
127;90;37918;28;;;;0
128;90;37910;25;;;;0
129;110;38072;23;;;;0
130;90;37756;22;;;;0
131;110;38080;32;;;;0
132;90;37926;26;;;;0
133;90;37905;28;;;;0
134;110;38071;30;;;;0
135;110;37917;33;;;;0
136;90;37918;28;;;;0
137;90;37758;17;;;;0
138;90;38082;25;;;;0
139;110;38078;24;;;;0
140;110;37761;34;;;;0
141;110;37916;31;;;;0
142;90;10909;8;;;;0
143;110;37920;28;18.671960071818365;-9.421179192850254;0.1776931226628328;0
144;90;37917;31;18.892270786899022;-11.931414242182049;0.1779508128673566;0
145;90;38078;27;18.892270786899022;-11.931869856985966;0.1779508128673566;0
146;90;37762;31;18.892270786899022;-11.931454004220887;0.1764369293396613;0
147;267;38085;30;18.56829642055762;-11.931055978414047;0.1758413146854845;0
148;267;37919;29;18.25546947853044;-11.931923997632351;0.1754026087030549;0
149;110;37921;26;18.25728219121966;-11.933892544564856;0.1747419855280312;0
150;90;38077;23;18.25546947853044;-11.933533376224338;0.175063197927;0
151;110;37761;21;18.25546947853044;-11.93351439661455;0.1755012668571827;0
152;90;38080;28;18.492792593742;-11.93351439661455;0.1730184774296888;0
153;90;38079;27;18.492792593742;-11.933527022520524;0.1721566353567849;0
154;110;37759;22;18.494184413469817;-11.933507849219993;0.1726723527946027;0
155;90;37923;29;18.494184413469817;-11.933918705314468;0.1721401069217719;0
156;90;38245;23;18.494184413469817;-11.932217350948632;0.1726622018224125;0
157;405;37920;26;17.50517916542874;-11.933105324171684;0.1701239617088356;0
158;110;37755;38;17.507125007040703;-11.93253651246394;0.1730965523893895;0
159;110;38070;19;17.507125007040703;-11.932215375533708;0.1743880784801445;0
160;110;37755;24;17.507125007040703;-11.931268449323138;0.1741992752096514;0
161;90;37918;20;17.507125007040703;-11.931668760140154;0.1741952831492619;0
162;90;37922;23;17.50517916542874;-11.932540674728326;0.1745591907236062;0
163;110;37761;26;17.507125007040703;-11.932521833097042;0.1729443356308971;0
164;90;38244;29;17.507125007040703;-11.935622137668185;0.1726344400662394;0
165;90;37763;23;17.507125007040703;-11.93559441056872;0.1731480645220505;0
166;110;37920;27;17.507125007040703;-11.936416059598956;0.1718246919055254;0
167;110;38082;24;17.509137329278953;-11.936416059598956;0.1703137107962896;0
168;90;37916;26;17.508536279906792;-11.93640464320464;0.1701000718957153;0
169;90;37923;29;17.50661272844633;-11.93640464320464;0.1702078836306071;0
170;90;37924;29;17.504755542894692;-11.936771729962532;0.1698109152485125;0
171;90;37923;15;17.504755542894692;-11.93677035239555;0.1734029527653271;0
172;90;38079;23;17.504755542894692;-11.936385829262512;0.1724267700835776;0
173;110;37918;23;17.50661272844633;-11.936384148952238;0.1728802265868356;0
174;90;37909;22;17.50661272844633;-11.936366805093906;0.1735881882422798;0
175;182;38084;23;17.440088649755083;-11.93596470978356;0.1740249813823255;0
176;90;37917;18;17.440088649755083;-11.935957873695584;0.176330260010511;0
177;90;37925;24;17.438029242171726;-11.936343218180284;0.1765532932429918;0
178;110;38073;23;17.438029242171726;-11.936008708826956;0.1769722273424724;0
179;90;37913;34;17.436036079617967;-11.936004797357906;0.177942842757844;0
180;110;37763;28;17.436036079617967;-11.93555160458546;0.1777022577484936;0
181;90;38245;20;17.43410906902702;-11.93342320632756;0.1790497265740862;0
182;110;37923;28;17.436036079617967;-11.934302982565322;0.1783245828859154;0
183;90;37758;28;17.436036079617967;-11.933375517024052;0.1778596256235401;0
184;110;38065;22;17.438029242171726;-11.933452409030032;0.1783026973298163;0
185;110;37918;28;17.440088649755083;-11.933445796927796;0.1782040527356993;0
186;90;37924;15;17.440088649755083;-11.933453690198125;0.1794558700058132;0
187;90;38079;11;17.440088649755083;-11.933134252453216;0.1857535819668194;0
188;90;37778;16;17.440088649755083;-11.932679176781688;0.1885806722428845;0
189;90;37908;16;17.438029242171726;-11.93351062151742;0.1912027270712282;0
190;90;38083;13;17.436036079617967;-11.933491524150972;0.1961046758781603;0
191;110;37760;21;17.438029242171726;-11.93257210857334;0.1965974285427053;0
192;90;37918;21;17.50296463190916;-11.932712870668892;0.1973445350443347;0
193;90;37918;23;17.501239905160833;-11.933063347609895;0.1960616255847413;0
194;90;38084;22;17.501239905160833;-11.932658701907515;0.1964307199316791;0
195;110;37922;24;17.501239905160833;-11.93266028017336;0.1962740572582881;0
196;90;37922;11;17.501239905160833;-11.932653133908264;0.2026732864372822;0
197;110;38078;20;17.501239905160833;-11.932374873003946;0.2035965907727895;0
198;90;37913;16;17.499581273330634;-11.93235736127134;0.2064133948580528;0
199;110;37766;13;17.501239905160833;-11.931901414576249;0.2108258103808024;0
200;110;38083;14;17.501239905160833;-11.932359775515032;0.2140065165157832;0
201;90;38000;23;20.673157630402503;-11.93267667789884;0.2142402680530466;0
202;90;37839;21;20.673157630402503;-11.932783791612705;0.2148201527055027;0
203;90;38075;10;20.671154617916404;-11.933292510319289;0.2214887593812582;0
204;90;37916;11;20.671154617916404;-11.93361526570151;0.2269813061042497;0
205;90;37926;16;20.671154617916404;-11.933622376788495;0.2292588585554491;0
206;90;37926;21;20.66924612605241;-11.934477783584969;0.2298500197482575;0
207;110;37921;25;20.671154617916404;-11.936505196951314;0.2296551983042465;0
208;90;37926;25;20.671154617916404;-11.93651840473372;0.2284624012766596;0
209;117;38077;23;20.67085342732043;-11.936996669137953;0.2282875863781855;0
210;90;37928;23;20.668818716284598;-11.93906341413401;0.2282875863781855;0
211;145;37924;21;20.641566494461166;-11.939074039642623;0.2282626340918221;0
212;90;38084;17;20.641566494461166;-11.939507767110634;0.2295852045529108;0
213;182;37924;22;20.54636341725613;-11.93993206442966;0.2298299670512059;0
214;110;37766;20;20.548928156906733;-11.939346677145114;0.2291410910306285;0
215;90;38082;15;20.548928156906733;-11.93966254480067;0.2310768246446317;0
216;90;37763;16;20.548928156906733;-11.938802809817576;0.2311939628424404;0
217;90;37922;11;20.548928156906733;-11.939234778242689;0.2347205268364124;0
218;90;38082;19;20.548928156906733;-11.938822710930053;0.2352759104129407;0
219;90;37923;21;20.548928156906733;-11.938828708278873;0.2347205268364124;0
220;90;37923;24;20.54636341725613;-11.939196861556562;0.2347205268364124;0
221;90;37763;22;20.54636341725613;-11.9392061488791;0.2347205268364124;0
222;90;38084;17;20.54636341725613;-11.939212886705684;0.2364605488410653;0
223;90;38074;15;20.54636341725613;-11.93923812987786;0.2391484011625056;0
224;90;37761;16;25.80865173427252;-11.93906084518519;0.239821303156949;0
225;110;37920;11;33.78330879746788;-11.939323361478266;0.2437539986339927;0
226;90;38075;19;33.78330879746788;-11.939355579263284;0.2445900494447341;0
227;90;37920;16;33.777538738924115;-11.940215307615256;0.2465750858063293;0
228;145;37922;21;34.739903160780244;-11.940636347224656;0.2469636062621628;0
229;145;37763;15;35.74427425428232;-11.940645578597811;0.2492788480360566;0
230;145;37926;18;35.6768484183885;-11.941067037030372;0.2501031837152062;0
231;90;38083;16;35.6768484183885;-11.941067037030372;0.2519044900066445;0
232;145;37762;17;35.611241318198736;-11.94107626579294;0.253232581705871;0
233;90;37927;18;49.80854825309821;-11.941082073215354;0.252696843064683;0
234;90;38081;15;49.80854825309821;-11.94066664824075;0.2546294413638367;0
235;90;37921;12;49.79876980837874;-11.940669536412376;0.2576484254283978;0
236;110;37928;18;49.79876980837874;-11.9410921097875;0.2585817164899185;0
237;90;38080;20;49.79876980837874;-11.941597697062631;0.2589315164614528;0
238;90;37802;15;49.79876980837874;-11.941467612701697;0.260878264071297;0
239;90;38039;20;49.78946809746476;-11.941285645608906;0.2611855143357284;0
240;90;38085;19;49.78064222147904;-11.940845120902544;0.2615562401552289;0
241;90;37762;19;50.29159718556588;-11.940371805489828;0.2622304349147797;0
242;90;38079;20;80.56560985855066;-11.94036526799496;0.2618170367469223;0
243;182;38075;19;34.511720482751045;-11.9399875838616;0.2625087182196616;0
244;90;37758;23;34.511720482751045;-11.939099851214335;0.2624498855034894;0
245;90;37924;19;34.511720482751045;-11.939538999443286;0.2630329456502829;0
246;90;38244;16;34.511720482751045;-11.937358957430392;0.2625868613422664;0
247;90;37754;14;37.09764271331122;-11.936442384725288;0.2647398190666868;0
248;90;37760;18;37.09764271331122;-11.935870757027764;0.2622606906038651;0
249;110;38238;22;37.0794346582016;-11.933746072967647;0.2620390286902062;0
250;90;37916;22;37.09764271331122;-11.93461159482594;0.2606225690907599;0
251;110;37760;21;37.0794346582016;-11.934149529629886;0.2604530432027796;0
252;145;37922;18;36.25137522066926;-11.934615034948848;0.2612976269582729;0
253;90;38247;23;36.26360252956086;-11.933236468278016;0.2569448192400193;0
254;90;37758;14;36.26360252956086;-11.932787826509824;0.2592306822608439;0
255;182;37925;19;33.77186017745843;-11.932801292063196;0.2592306822608439;0
256;90;38082;11;33.77186017745843;-11.93322287768671;0.2634883281558425;0
257;90;37919;21;33.77186017745843;-11.9353244884672;0.2628490991698857;0
258;90;37925;14;33.778599784114085;-11.93533487343851;0.2649602394883385;0
259;90;38079;17;33.778599784114085;-11.935814157117123;0.2660441172850994;0
260;145;37915;15;33.07026445764048;-11.93791025405043;0.2675330231500932;0
261;90;37920;14;33.07026445764048;-11.93791604044971;0.2698541495149769;0
262;90;37844;22;33.07026445764048;-11.938512233863882;0.2694703439308843;0
263;90;38004;19;33.07026445764048;-11.940590376661383;0.2699140004735669;0
264;90;38078;22;33.07026445764048;-11.940176403599882;0.2681534058948394;0
265;110;37759;18;33.066496527293786;-11.940185743419928;0.2687334562892969;0
266;110;38075;22;33.06481222281681;-11.94189305983978;0.2687255224728064;0
267;90;37920;20;33.066496527293786;-11.942766893276238;0.2688408089159039;0
268;110;37925;16;33.06481222281681;-11.942769188333877;0.2687075798555727;0
269;90;37923;18;33.06481222281681;-11.942758428583309;0.268222288335964;0
270;90;38080;20;33.066496527293786;-11.942391169832703;0.2684288000455812;0
271;90;37921;15;33.066496527293786;-11.942395469766277;0.2692860143816736;0
272;145;37758;16;32.385772757268896;-11.941537036106038;0.2703712412092461;0
273;90;38244;11;32.384680805210486;-11.939719056842916;0.2742337708856599;0
274;110;37922;14;32.385772757268896;-11.940625657623578;0.2763135010983991;0
275;90;37760;16;32.384680805210486;-11.940176423379931;0.2747966443663744;0
276;90;37914;18;32.384680805210486;-11.940160077506697;0.2749313472818109;0
277;90;38086;19;32.384680805210486;-11.939728952418037;0.2742435029744527;0
278;90;37921;18;32.38562450701874;-11.940088931105294;0.2728899686860548;0
279;145;37763;16;31.72365038382957;-11.939270966427255;0.2702829131148903;0
280;90;38234;17;31.72365038382957;-11.937232728268132;0.2698563918805736;0
281;90;37934;21;31.72365038382957;-11.938134967896495;0.2691452013058343;0
282;110;37765;18;31.72539255844145;-11.937740166682994;0.2692900258405283;0
283;90;38077;11;31.72365038382957;-11.937746670080251;0.2727718569191479;0
284;90;37925;16;31.72389185893996;-11.93860347942391;0.2689615178853538;0
285;90;37850;20;31.726110910991757;-11.938388143917376;0.2661215776965733;0
286;90;38156;20;31.726110910991757;0.299107744959735;0.2602184229306806;0
287;90;37922;18;31.7303019703837;0.2988220126861167;0.2591805628537777;0
288;90;37758;18;31.7303019703837;0.2971798862953168;0.2563980934137826;0
289;90;38087;14;31.7303019703837;0.2968026944817697;0.2570502465024956;0
290;162;37923;17;30.507932471949918;0.2966486825826339;0.2542470332258266;0
291;110;37761;13;38.54345936715069;0.3177120598073486;0.2536320875435089;0
292;145;37926;18;49.27643297937154;0.3166980584438599;0.2515549824586638;0
293;90;38241;23;49.28199282788142;0.3248897436204168;0.2507501873792319;0
294;90;37763;13;49.28199282788142;0.3463640249270964;0.2527622874321762;0
295;162;37923;12;46.90074592847012;0.3463130779591638;0.2555178465544219;0
296;90;38077;20;46.90074592847012;0.3464927762596715;0.2535685381561657;0
297;90;37764;16;46.90074592847012;0.3682725286055794;0.2528176647280984;0
298;110;38081;14;46.90074592847012;0.3474809554023967;0.2543069912170045;0
299;145;38085;17;45.73427426369908;0.3260312720640034;0.2519987649371384;0
300;90;37762;24;45.73427426369908;0.3161820409357795;0.2522342379737489;0
301;110;37923;14;4.021429494580474;0.3157494891866126;0.252545072511298;1
302;110;38077;20;4.021429494580474;0.2959532019961521;0.2400890797413398;1
303;145;37761;12;3.680052448692845;0.3166865868429304;0.242653710115977;1
304;90;38080;15;3.71496212875666;0.2967805890073407;0.243010736944605;1
305;90;38078;20;3.71496212875666;0.2753460614927333;0.243010736944605;1
306;90;37762;16;3.71496212875666;0.2760518740722276;0.2432578837204407;1
307;90;38078;13;3.751131930760575;0.2548212765140002;0.2436447156443985;1
308;145;37916;18;3.3956596549708165;0.2416650216961832;0.2402385173117269;1
309;90;37926;17;3.3956596549708165;0.2403323318152505;0.2400794588326679;1
310;90;38076;26;3.42921107168832;0.2195192318747224;0.2395021054433685;1
311;90;37758;31;3.4639468043722883;0.2399007578624585;0.2440623292334804;1
312;145;37924;19;3.12997172062924;0.238738280850781;0.2424410704099567;1
313;90;38080;14;3.12997172062924;0.2183971652125015;0.2400493893080522;1
314;90;37924;16;3.12997172062924;0.2183971652125015;0.2366640072033674;1
315;110;37920;19;3.098794830599847;0.2188349698353024;0.2358150482856323;1
316;90;37923;16;3.098794830599847;0.239141351990193;0.2357630071191984;1
317;90;37761;13;3.12997172062924;0.2396003447585405;0.2369572764061466;1
318;90;38082;18;3.12997172062924;0.2173854130107287;0.2367139001130478;1
319;90;38082;22;3.272131178974555;0.2174419753429399;0.2364297608287606;1
320;145;37765;15;2.937300822505736;0.2193338904785978;0.2371676603340418;1
321;90;37925;12;2.937300822505736;0.2193338904785978;0.2384778180436779;1
322;90;37924;14;2.9711000500834155;0.2389041569980843;0.2390083716600143;1
323;90;38081;16;2.9711000500834155;0.2174310025682771;0.2291351514328828;1
324;90;37919;16;3.0060689829956915;0.2156380466846222;0.2255306575427788;1
325;90;37922;12;3.0060689829956915;0.1962060472710328;0.2276797373478008;1
326;90;38087;14;3.0422204621572995;0.176388294612248;0.2245267024064172;1
327;145;37762;16;2.7240270975106333;0.1772241807427798;0.2203992225463608;1
328;90;38082;20;2.7576455398393973;0.1765940046267253;0.2198900203701939;1
329;110;37920;10;2.7576455398393973;0.1762987454600114;0.2188200545829893;1
330;110;37763;18;2.7240270975106333;0.1794045359809698;0.2182382470207877;1
331;90;38076;19;2.7240270975106333;0.1794895903459733;0.2154049180657595;1
332;90;38080;13;2.7240270975106333;0.1543857384624372;0.2166300547857629;1
333;90;37763;12;2.7240270975106333;0.1554556930711705;0.21845924682973;1
334;90;37923;13;2.7240270975106333;0.1749523328226196;0.21845924682973;1
335;90;38240;22;2.7576455398393973;0.1888611085901706;0.2187826544787797;1
336;90;37758;19;2.7576455398393973;0.1898133335003253;0.2184464151825979;1
337;90;37918;19;2.7576455398393973;0.1898133335003253;0.2173408471455201;1
338;90;38243;23;2.7576455398393973;0.2228712312953507;0.2177765265728637;1
339;90;37759;17;2.7923769994579515;0.2247330621391331;0.2161658538991384;1
340;90;37920;16;2.7923769994579515;0.2250156850104288;0.2136170294712714;1
341;90;37920;15;2.828234085396224;0.2453431683359856;0.2140359725299145;1
342;90;37754;19;2.828234085396224;0.2454359443624064;0.2137866340996725;1
343;110;38079;22;2.828234085396224;0.2217876333731968;0.2130022255984536;1
344;110;38084;17;2.828234085396224;0.2217514325456023;0.2120892792046003;1
345;90;37761;23;2.828234085396224;0.2364291988469735;0.2120892792046003;1
346;145;38086;21;2.525239259313676;0.2083271804712561;0.2120892792046003;1
347;145;37923;21;2.246058648717732;0.2278509355314787;0.2086850281071794;1
348;145;37928;19;1.9882178543522304;0.2261486619555139;0.2057187103078076;1
349;110;37759;18;1.9618214507629808;0.2296389657724461;0.2054024776425724;1
350;90;38238;18;1.9618214507629808;0.2360197969210593;0.2050612005695976;1
351;90;37915;11;1.9882178543522304;0.2368336237355945;0.2056610230170044;1
352;90;37762;16;1.9882178543522304;0.2410474806952164;0.2034724039970203;1
353;90;38079;14;2.0491320786289715;0.2409404269323836;0.2031992034541778;1
354;90;38079;16;2.0491320786289715;0.2220794044378884;0.2021423489189654;1
355;90;37760;14;2.3126265157733155;0.2262778996189602;0.2026327234193782;1
356;90;37919;17;2.3126265157733155;0.246503453483312;0.2026327234193782;1
357;110;37919;16;2.2599340695449137;0.2471926104022801;0.2019905859811111;1
358;90;38083;23;2.2951884521674213;0.2226102522770161;0.203174669419461;1
359;145;37925;16;2.018317249094257;0.2420314267430058;0.2028804832320909;1
360;90;37764;15;2.018317249094257;0.2421801144094387;0.203174669419461;1
361;90;38082;15;2.018317249094257;0.2223404179627495;0.2008450147797227;1
362;145;38079;15;1.7633383820893962;0.2224870548006288;0.2013392919663508;1
363;90;37762;15;1.7633383820893962;0.2268722879115548;0.2013659179832961;1
364;145;38081;17;1.5279563951263897;0.2074408382335095;0.1993110904709021;1
365;90;38074;16;1.5279563951263897;0.1837145203353665;0.1985511731752988;1
366;90;37760;11;1.5279563951263897;0.207519014955021;0.2013090144747408;1
367;90;37921;19;1.5279563951263897;0.2268462335071262;0.2008895957711924;1
368;90;38243;13;1.5279563951263897;0.227038754723284;0.2020850153335462;1
369;90;37759;21;1.5549020307337371;0.2303427197161991;0.1998340926462689;1
370;90;37760;15;1.5549020307337371;0.253764269183248;0.2002737139250524;1
371;90;38076;9;1.5549020307337371;0.2341693626934206;0.2046907585896996;1
372;90;37919;14;1.793090250711259;0.2345696042938235;0.2049977106663476;1
373;90;37752;16;2.0511915517989907;0.2329520177750932;0.2047239408236531;1
374;90;38138;16;2.331551391559909;0.2139003383652567;0.2049222100970706;1
375;90;38023;20;2.331551391559909;0.2193633208498747;0.2049867101255544;1
376;90;37756;18;2.636895593670343;0.2185237397822253;0.20494278807662;1
377;90;37912;18;2.636895593670343;0.2205037359503928;0.20494278807662;1
378;90;38075;19;2.636895593670343;0.2208570946601606;0.2045281953744143;1
379;90;37919;17;2.636895593670343;0.2211220268364989;0.2025450599402469;1
380;90;37923;12;2.6784003322864587;0.221799836140699;0.2045750773209695;1
381;87;6935;7;2.6737923859657653;-11.941826404016842;0.2110915057547291;1
382;90;38080;11;2.6737923859657653;-11.941918849743058;0.2132810217521868;1
383;110;37919;15;2.632200330213725;-11.942048689798508;0.2134630707143124;1
384;90;37921;14;2.632200330213725;-11.942382249465629;0.2141914971120281;1
385;90;37920;21;2.632200330213725;-11.943029706920775;0.2146912837141834;1
386;182;37920;15;2.6285026209896207;-11.943332224200832;0.2148462967133413;1
387;90;37923;11;2.632200330213725;-11.94362486062566;0.2173127020069943;1
388;90;37861;16;2.632200330213725;-11.944164282367254;0.2158776589649837;1
389;90;37979;19;2.632200330213725;-11.94415853661879;0.2158776589649837;1
390;90;37761;16;2.632200330213725;-11.945184418035844;0.2158776589649837;1
391;110;37761;23;2.5918352599248204;-11.945234071116872;0.2167006105127046;1
392;90;38243;19;2.5918352599248204;-11.94422744920563;0.2167870275569099;1
393;90;37762;16;2.632200330213725;-11.945191515268917;0.2159137116694114;1
394;90;37922;21;2.632200330213725;-11.945197580776938;0.2154800654248089;1
395;90;38238;14;2.6737923859657653;-11.94424845374802;0.2155996581660052;1
396;90;37761;13;3.0114837859290464;-11.94359769240568;0.216805023718096;1
397;90;37921;15;3.0114837859290464;-11.945306004159187;0.2154852443118025;1
398;110;38079;21;2.965353055372632;-11.945646252757536;0.2154409549203109;1
399;90;37921;23;2.7830673228127893;-11.94564248544517;0.2169956575919232;1
400;90;37922;17;2.7830673228127893;-11.945975816817816;0.2145082612906632;1
401;90;38085;16;2.7830673228127893;-11.945630086633477;0.2140064412146011;1
402;90;37918;14;2.7830673228127893;-11.945623095086294;0.2140064412146011;1
403;90;37921;17;2.7830673228127893;-11.945940211697293;0.2140064412146011;1
404;90;38081;20;3.1556218470083826;-11.945619812523775;0.2139350918993947;1
405;90;37923;17;3.1556218470083826;-11.945622813685697;0.2131942706463675;1
406;110;37918;13;3.0984282137705854;-11.94581092115911;0.2133252760159802;1
407;110;37758;11;3.0429071460722183;-11.945192511497776;0.2157016911059066;1
408;90;38082;18;3.0429071460722183;-11.945172195281682;0.2145609174921418;1
409;90;37922;17;3.0984282137705854;-11.945830001782472;0.2145623270213305;1
410;90;37754;17;3.1556218470083826;-11.945441078826937;0.2133860022281054;1
411;90;38236;26;3.1556218470083826;-11.943857496067594;0.2172163325610079;1
412;182;37923;15;3.3816501110381547;-11.94385568697824;0.2174494741748547;1
413;90;37762;16;3.3816501110381547;-11.943218215413424;0.2175694001218274;1
414;90;38080;17;3.3816501110381547;-11.943218215413424;0.2172253386841584;1
415;90;37913;18;3.3816501110381547;-11.943209205601413;0.2168792268065589;1
416;90;37762;17;3.788820690892945;-11.943237364480115;0.2167624421203196;1
417;90;37938;25;3.788820690892945;-11.944936030081996;0.217450099257412;1
418;90;38225;16;3.847639139548353;-11.943456862868253;0.2168530631006408;1
419;145;37762;18;3.4344374849180928;-11.94347086738506;0.2167075445443786;1
420;90;37916;17;3.4344374849180928;-11.943473270905097;0.2167238808948141;1
421;90;38085;16;3.4344374849180928;-11.943478559459589;0.2167680794930324;1
422;90;37922;22;3.4344374849180928;-11.943479515218517;0.2178396441340918;1
423;145;37761;21;3.4344374849180928;-11.943465584627187;0.2183036544455545;1
424;90;38238;22;3.4344374849180928;-11.943421277744726;0.2192995522680876;1
425;110;37762;16;3.3816501110381547;-11.942783482628911;0.2188640010007239;1
426;90;37921;16;3.4344374849180928;-11.943391102688729;0.2190191675937953;1
427;110;37917;14;3.3816501110381547;-11.94370124323398;0.2172697973361199;1
428;90;37755;20;3.3816501110381547;-11.94302740284669;0.2174001473068179;1
429;90;38081;18;3.3816501110381547;-11.942847541490206;0.2171117376479517;1
430;90;37920;19;3.3816501110381547;-11.943683095592752;0.2169094367484698;1
431;90;37917;15;3.3816501110381547;-11.943678402950589;0.217312194353236;1
432;110;37920;19;3.33037431870871;-11.94432605154348;0.2174040959151109;1
433;90;38077;12;3.33037431870871;-11.94437814240762;0.2184582961312683;1
434;110;37763;14;3.7075267970623593;-11.94376298065797;0.2191904454790046;1
435;90;37919;16;3.764668263803188;-11.944388286688817;0.2181210809931852;1
436;145;38236;13;3.764668263803188;-11.942795059869349;0.2193383863481148;1
437;90;37757;16;3.764668263803188;-11.943785692925774;0.217851775975585;1
438;90;37760;18;3.764668263803188;-11.943765034917698;0.2166542007988094;1
439;110;38082;15;4.178305098728989;-11.943414719375587;0.215242136956686;1
440;145;38080;20;3.725301779529965;-11.94339947955139;0.215242136956686;1
441;90;37764;11;3.725301779529965;-11.94339947955139;0.2175902187288516;1
442;90;38082;17;3.7841175985958326;-11.9433942853572;0.2168678825751321;1
443;90;37919;19;4.2442860673743406;-11.943756876285606;0.21695094326887;1
444;90;37762;19;4.2442860673743406;-11.943756876285606;0.2147312866756119;1
445;145;38081;17;3.844725855251441;-11.943411630907816;0.2140064412146011;1
446;110;37763;17;3.844725855251441;-11.943128561937383;0.2136927080320847;1
447;90;37924;12;4.312278814691378;-11.94375081821082;0.2136927080320847;1
448;145;38084;23;3.844725855251441;-11.943729793582497;0.21496569646038;1
449;90;37917;18;3.844725855251441;-11.944060470808491;0.2146547195223733;1
450;90;37922;16;3.844725855251441;-11.94467443889974;0.2146547195223733;1
451;90;37917;17;3.844725855251441;-11.945005339932036;0.2134419242097595;1
452;90;37917;19;4.312278814691378;-11.945006342691386;0.2135386997017007;1
453;90;38074;18;4.312278814691378;-11.944687910384388;0.2135198386064681;1
454;182;37922;24;4.286676856827508;-11.945013539221376;0.2118277312771509;1
455;90;37760;16;4.286676856827508;-11.94502741618651;0.201166241606813;1
456;145;37924;16;4.286676856827508;-11.94502741618651;0.2011470967432974;1
457;90;38078;18;4.286676856827508;-11.94503779158446;0.200429743712928;1
458;90;37921;14;4.286676856827508;-11.945035471056263;0.2010372292000385;1
459;110;37921;12;4.286676856827508;-11.945036320103537;0.202705885900034;1
460;90;37924;12;4.286676856827508;-11.945037055709465;0.2043796770003458;1
461;90;37918;14;4.286676856827508;-11.945653917797287;0.203901391237446;1
